tweet_id,dog_name,dog_stage,rating/10,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892177421306343426,Tilly,None,13,6514,33819,Chihuahua,32.4,True,Pekinese,9.1,True,papillon,6.9,True
891815181378084864,Archie,None,12,4328,25461,Chihuahua,71.6,True,malamute,7.8,True,kelpie,3.1,True
891689557279858688,Darla,None,13,8964,42908,paper_towel,17.0,False,Labrador_retriever,16.8,True,spatula,4.1,False
891327558926688256,Franklin,None,12,9774,41048,basset,55.6,True,English_springer,22.6,True,German_short-haired_pointer,17.5,True
891087950875897856,None,None,13,3261,20562,Chesapeake_Bay_retriever,42.6,True,Irish_terrier,11.6,True,Indian_elephant,7.7,False
890971913173991426,Jax,None,13,2158,12041,Appenzeller,34.2,True,Border_collie,19.9,True,ice_lolly,19.4,False
890729181411237888,None,None,13,16716,56848,Pomeranian,56.6,True,Eskimo_dog,17.8,True,Pembroke,7.7,True
890609185150312448,Zoey,None,13,4429,28226,Irish_terrier,48.8,True,Irish_setter,19.3,True,Chesapeake_Bay_retriever,11.8,True
890240255349198849,Cassie,doggo,14,7711,32467,Pembroke,51.1,True,Cardigan,45.1,True,Chihuahua,2.9,True
890240255349198849,Cassie,None,14,7711,32467,Pembroke,51.1,True,Cardigan,45.1,True,Chihuahua,2.9,True
890006608113172480,Koda,None,13,7624,31166,Samoyed,95.8,True,Pomeranian,1.4,True,chow,0.8,True
889880896479866881,Bruno,None,13,5156,28268,French_bulldog,37.7,True,Labrador_retriever,15.1,True,muzzle,8.3,False
889665388333682689,None,None,13,8538,38818,Pembroke,96.6,True,Cardigan,2.7,True,basenji,0.5,True
889665388333682689,None,puppo,13,8538,38818,Pembroke,96.6,True,Cardigan,2.7,True,basenji,0.5,True
889638837579907072,Ted,None,12,4735,27672,French_bulldog,99.2,True,boxer,0.2,True,Staffordshire_bullterrier,0.1,True
889531135344209921,Stuart,None,13,2321,15359,golden_retriever,95.3,True,Labrador_retriever,1.4,True,redbone,0.8,True
889531135344209921,Stuart,puppo,13,2321,15359,golden_retriever,95.3,True,Labrador_retriever,1.4,True,redbone,0.8,True
889278841981685760,Oliver,None,13,5637,25652,whippet,62.6,True,borzoi,19.5,True,Saluki,2.7,True
888917238123831296,Jim,None,12,4709,29611,golden_retriever,71.5,True,Tibetan_mastiff,12.0,True,Labrador_retriever,10.6,True
888804989199671297,Zeke,None,13,4559,26080,golden_retriever,47.0,True,Labrador_retriever,18.4,True,English_setter,7.3,True
